name,manaCost,colors,type,power,toughness,artist,keywords,originalText,flavorText
"Gloryheath Lynx","{1}{W}","W","Creature — Cat Mount","2","3","Deruchenko Alexander","Lifelink,Saddle","Lifelink\nWhenever this creature attacks while saddled, search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.\nSaddle 2 (Tap any number of other creatures you control with total power 2 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",""
"Guardian Sunmare","{3}{W}{W}","W","Creature — Horse Mount","5","5","Christina Kraus","Saddle,Ward","Ward {2}\nWhenever this creature attacks while saddled, search your library for a nonland permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.\nSaddle 4",""
"Guidelight Synergist","{3}{W}","W","Artifact Creature — Robot Artificer","0","4","Camille Alquier","Flying","Flying\nThis creature gets +1/+0 for each artifact you control.","""Declarative: A unit is only as strong as its network."""
"Interface Ace","{1}{W}","W","Artifact Creature — Robot Pilot","0","4","Wonchun Choi","","This creature saddles Mounts and crews Vehicles using its toughness rather than its power.\nWhenever this creature becomes tapped during your turn, untap it. This ability triggers only once each turn.","To the Guidelight Voyagers, a vehicle is just another hardware upgrade."
"Leonin Surveyor","{1}{W}","W","Creature — Cat Scout","2","2","Valera Lutfullina","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nDuring your turn, this creature has first strike.\nMax speed — {3}, Exile this card from your graveyard: Draw a card.",""
"Lightshield Parry","{W}","W","Instant","","","Leanna Crossan","Cycling","Target creature gets +2/+2 until end of turn.\nCycling {2} ({2}, Discard this card: Draw a card.)","The Quickbeasts' diet of aether makes them capable of astonishing maneuvers."
"Lightwheel Enhancements","{W}","W","Enchantment — Aura","","","Yeong-Hao Han","Enchant,Max speed,Start your engines!","Enchant creature or Vehicle\nStart your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nEnchanted permanent gets +1/+1 and has vigilance.\nMax speed — You may cast this card from your graveyard.",""
"Lotusguard Disciple","{2}{W}","W","Creature — Bird Cleric","2","2","Josiah ""Jo"" Cameron","Flying","Flying\nWhen this creature enters, target creature or Vehicle gains lifelink and indestructible until end of turn.","""No one dies under my watch.""\n—Sektem, Lotusguard veteran"
"Nesting Bot","{W}","W","Artifact Creature — Robot","1","1","Racrufi","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nWhen this creature dies, create a 1/1 colorless Servo artifact creature token.\nMax speed — This creature gets +1/+0.",""
"Perilous Snare","{2}{W}","W","Artifact","","","Chris Seaman","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nWhen this artifact enters, exile target nonland permanent an opponent controls until this artifact leaves the battlefield.\nMax speed — {T}: Put a +1/+1 counter on target creature or Vehicle you control. Activate only as a sorcery.",""
"Pride of the Road","{3}{W}","W","Creature — Zombie Cat Warrior","2","5","Alfonso Santano","Max speed,Start your engines!,Vigilance","Vigilance\nStart your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nMax speed — At the beginning of combat on your turn, target creature or Vehicle you control gains double strike until end of turn.",""
"Ride's End","{4}{W}","W","Instant","","","Dmitry Burmak","","This spell costs {3} less to cast if it targets a tapped permanent.\nExile target creature or Vehicle.","Their race ended much the same way it began, walking through a sandstorm on a world that ended long ago."
"Roadside Assistance","{2}{W}","W","Enchantment — Aura","","","Artur Nakhodkin","Enchant","Enchant creature or Vehicle\nWhen this Aura enters, create a 1/1 colorless Pilot creature token with ""This token saddles Mounts and crews Vehicles as though its power were 2 greater.""\nEnchanted permanent gets +1/+1 and has lifelink.","No road has to be traveled alone."
"Salvation Engine","{4}{W}","W","Artifact — Vehicle","6","10","Ben Wootten","Crew","Other artifact creatures you control get +2/+2.\nWhenever this Vehicle attacks, return up to one target artifact card from your graveyard to the battlefield.\nCrew 6","""The Guidelight Voyagers seem to exhibit more humanity than their flesh-and-blood competitors.""\n—Pia Nalaar"
"Skyseer's Chariot","{1}{W}","W","Artifact — Vehicle","3","3","Carl Critchlow","Crew,Flying","Flying\nAs this Vehicle enters, choose a nonland card name.\nActivated abilities of sources with the chosen name cost {2} more to activate.\nCrew 2","""It's the dawn of a new era, and we shall rise like the suns to greet it."""
"Spectacular Pileup","{3}{W}{W}","W","Sorcery","","","Zezhou Chen","Cycling","All creatures and Vehicles lose indestructible until end of turn, then destroy all creatures and Vehicles.\nCycling {2} ({2}, Discard this card: Draw a card.)","The first four crashes were accidental. Then the Endriders joined the fun."
"Spotcycle Scouter","{1}{W}","W","Artifact — Vehicle","3","2","Josiah ""Jo"" Cameron","Crew,Scry","When this Vehicle enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",""
"Sundial, Dawn Tyrant","{1}{W}","W","Legendary Artifact Creature — Construct","3","3","Bruce Brenneise","","","""We follow as it walks at the head of the ever-breaking day. Is it leading the dawn, or does it march to some forgotten celestial order? It does not answer our questions, so faith must sustain us.""\n—Chakshi, Dawnchaser pilgrim"
"Swiftwing Assailant","{3}{W}","W","Creature — Bird Warrior","3","3","Pig Hands","Flying,Max speed,Start your engines!","Flying\nStart your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nMax speed — This creature gets +0/+1 and has vigilance.",""
"Tune Up","{3}{W}","W","Sorcery","","","Chris Rallis","","Return target artifact card from your graveyard to the battlefield. If it's a Vehicle, it becomes an artifact creature.","""For most people? The odds would be insurmountable,"" Daretti said.\n""But we're not most people,"" Pia replied."
"Unswerving Sloth","{3}{W}{W}","W","Creature — Sloth Mount","5","5","Daren Bader","Saddle","Whenever this creature attacks while saddled, it gains indestructible until end of turn. Untap all creatures you control.\nSaddle 4 (Tap any number of other creatures you control with total power 4 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)","""To victory . . . eventually!"""
"Valor's Flagship","{4}{W}{W}{W}","W","Legendary Artifact — Vehicle","7","7","Stephan Martiniere","Crew,Cycling,First strike,Flying,Lifelink","Flying, first strike, lifelink\nCrew 3\nCycling {X}{2}{W} ({X}{2}{W}, Discard this card: Draw a card.)\nWhen you cycle this card, create X 1/1 colorless Pilot creature tokens with ""This token saddles Mounts and crews Vehicles as though its power were 2 greater.""",""
"Voyager Glidecar","{W}","W","Artifact — Vehicle","2","3","Eduardo Francisco","Crew,Scry","When this Vehicle enters, scry 1.\nTap three other untapped creatures you control: Until end of turn, this Vehicle becomes an artifact creature and gains flying. Put a +1/+1 counter on it.\nCrew 1","""Exclamatory: Hang on to something."""
"Voyager Quickwelder","{2}{W}","W","Artifact Creature — Robot Artificer","2","4","Kenn Yap","","Artifact spells you cast cost {1} less to cast.","The Guidelight Voyagers had been stranded on Avishkar with no way to get home. They considered every last unit essential, down to the glitchiest grunt."
"Aether Syphon","{1}{U}{U}","U","Artifact","","","Martin de Diego Sádaba","Max speed,Mill,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\n{2}, {T}: Draw a card.\nMax speed — Whenever you draw a card, each opponent mills two cards. (Each opponent puts the top two cards of their library into their graveyard.)",""
"Bounce Off","{U}","U","Instant","","","Deruchenko Alexander","","Return target creature or Vehicle to its owner's hand.","Control lost is adventure gained.\n—Keelhauler proverb"
"Caelorna, Coral Tyrant","{1}{U}","U","Legendary Creature — Octopus","0","8","Deruchenko Alexander","","","For centuries, she grew in her benthic home, safe from Muraganda's moonfalls, feeding on the raw leylines that run below the water. When she emerged, the coral depths she called home came with her."
"Diversion Unit","{1}{U}","U","Artifact Creature — Robot","2","1","Xabi Gaztelua","Flying","Flying\n{U}, Sacrifice this creature: Counter target instant or sorcery spell unless its controller pays {3}.","""Declarative: Goodbye."""
"Flood the Engine","{2}{U}","U","Enchantment — Aura","","","Eric Wilkerson","Enchant","Enchant creature or Vehicle\nWhen this Aura enters, tap enchanted permanent.\nEnchanted permanent loses all abilities and doesn't untap during its controller's untap step.","There had been a time when the Endriders would've killed for water."
"Gearseeker Serpent","{5}{U}{U}","U","Creature — Serpent","5","6","J.P. Targete","Affinity","Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)\n{5}{U}: This creature can't be blocked this turn.","The biggest collector of vehicles on Avishkar is also the largest."
"Glitch Ghost Surveyor","{2}{U}","U","Creature — Spirit Scout","2","2","Johan Grenier","Flying,Max speed,Start your engines!","Flying\nStart your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nMax speed — {3}, Exile this card from your graveyard: Draw a card.",""
"Guidelight Optimizer","{1}{U}","U","Artifact Creature — Robot","2","1","Mirko Failoni","","{T}: Add {U}. Spend this mana only to cast an artifact spell or activate an ability.","""Analysis: Systems operating at 125% efficiency. Stress within expected tolerances. Exclamatory: Punch it."""
"Howler's Heavy","{3}{U}","U","Creature — Seal Pirate","3","4","Borja Pindado","Cycling","Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)\nWhen you cycle this card, target creature or Vehicle an opponent controls gets -3/-0 until end of turn.","""It takes a thick skin to ride among the Keelhaulers."""
"Hulldrifter","{3}{U}{U}","U","Artifact — Vehicle","3","2","Alexandre Honoré","Crew,Flying","Flying\nWhen this Vehicle enters, draw two cards.\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)",""
"Keen Buccaneer","{2}{U}","U","Creature — Octopus Pirate","2","3","Mirko Failoni","Exhaust,Vigilance","Vigilance\nExhaust — {1}{U}: Draw a card, then discard a card. Put a +1/+1 counter on this creature. (Activate each exhaust ability only once.)","""The secret to good piratin' is being ready for anything. That, and havin' eight arms."""
"Memory Guardian","{4}{U}","U","Artifact Creature — Robot Artificer","3","4","Hardy Fowler","Affinity,Flying","Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)\nFlying","For the Guidelight Voyagers, there is no such thing as junk."
"Midnight Mangler","{1}{U}","U","Artifact — Vehicle","3","3","Villarrte","Crew","During turns other than yours, this Vehicle is an artifact creature.\nCrew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)","""Is someone asleep at the wheel, or are the wheels driving themselves?!""\n—Vnwxt, Grand Prix host"
"Mindspring Merfolk","{U}","U","Creature — Merfolk Wizard","1","1","Andreia Ugrai","Exhaust","Exhaust — {X}{U}{U}, {T}: Draw X cards. Put a +1/+1 counter on each Merfolk creature you control. (Activate each exhaust ability only once.)","The Invasion roused the reclusive jalpari from the depths. Since then, they had fully integrated into Avishkari society."
"Mu Yanling, Wind Rider","{2}{U}{U}","U","Legendary Creature — Human Wizard Pilot","2","4","Justyna Dura","","When this creature enters, create a 3/2 colorless Vehicle artifact token with crew 1.\nVehicles you control have flying.\nWhenever one or more creatures you control with flying deal combat damage to a player, draw a card.","The search for her lost mentor continued."
"Nimble Thopterist","{3}{U}","U","Creature — Vedalken Artificer","3","2","Ioannis Fiore","","When this creature enters, create a 1/1 colorless Thopter artifact creature token with flying.","The Aether Rangers repurposed thopters once used for Consulate surveillance so they could scout the track."
"Possession Engine","{3}{U}{U}","U","Artifact — Vehicle","5","5","Leroy Steinmann","Crew","When this Vehicle enters, gain control of target creature an opponent controls for as long as you control this Vehicle. That creature can't attack or block for as long as you control this Vehicle.\nCrew 3","""Here's a tip: If your ride needs souls for fuel, make sure to always keep one handy."""
"Rangers' Refueler","{1}{U}","U","Artifact — Vehicle","3","3","Samuel Perin","Crew,Exhaust","Whenever you activate an exhaust ability, draw a card.\nExhaust — {4}: This Vehicle becomes an artifact creature. Put a +1/+1 counter on it. (Activate each exhaust ability only once.)\nCrew 2",""
"Repurposing Bay","{2}{U}","U","Artifact","","","William Tempest","","{2}, {T}, Sacrifice another artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put that card onto the battlefield, then shuffle. Activate only as a sorcery.","By the end of the race, few of the Aether Rangers' vehicles resembled what they started as."
"Riverchurn Monument","{1}{U}","U","Artifact","","","Anthony Devine","Exhaust,Mill","{1}, {T}: Any number of target players each mill two cards. (Each of them puts the top two cards of their library into their graveyard.)\nExhaust — {2}{U}{U}, {T}: Any number of target players each mill cards equal to the number of cards in their graveyard. (Activate each exhaust ability only once.)",""
"Roadside Blowout","{2}{U}","U","Sorcery","","","Michele Giorgi","","This spell costs {2} less to cast if it targets a permanent with mana value 1.\nReturn target creature or Vehicle an opponent controls to its owner's hand.\nDraw a card.","""In cases of extreme emergency, just wing it.""\n—Rocketeer safety manual, full text"
"Sabotage Strategist","{2}{U}{U}","U","Creature — Vedalken Ranger","2","2","Darren Tan","Exhaust,Flying,Vigilance","Flying, vigilance\nWhenever one or more creatures attack you, those creatures get -1/-0 until end of turn.\nExhaust — {5}{U}{U}: Put three +1/+1 counters on this creature. (Activate each exhaust ability only once.)",""
"Scrounging Skyray","{1}{U}","U","Creature — Fish Pirate","1","2","Ron Spears","Cycling,Flying","Flying\nWhenever you discard one or more cards, put that many +1/+1 counters on this creature.\nCycling {2} ({2}, Discard this card: Draw a card.)","""Oi, you ain't gonna believe what these kelpheads just threw away!"""
"Skystreak Engineer","{1}{U}","U","Creature — Human Pilot","1","3","Elizabeth Peiró","Exhaust,Flying","Flying\nExhaust — {4}{U}: Put two +1/+1 counters on this creature. (Activate each exhaust ability only once.)","Garima was delighted to finally test out her design. The amazing views were a bonus."
"Slick Imitator","{1}{U}","U","Creature — Ooze","1","3","Xabi Gaztelua","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nMax speed — {1}, Sacrifice this creature: Copy target spell you control. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)",""
"Spectral Interference","{1}{U}","U","Instant","","","Steve Ellis","","Counter target artifact or creature spell unless its controller pays {4}.","""So many fears. Let's make them all come true."""
"Spell Pierce","{U}","U","Instant","","","Maxime Minard","","Counter target noncreature spell unless its controller pays {2}.","The druid's aim was dead on. But their choice of target was dead wrong."
"Spikeshell Harrier","{4}{U}","U","Artifact Creature — Robot Turtle","4","4","Alfonso Santano","","When this creature enters, return target creature or Vehicle an opponent controls to its owner's hand. If that opponent's speed is greater than each other player's speed, reduce that opponent's speed by 1. This effect can't reduce their speed below 1.","""Target acquired. Resolution: Imminent impact."""
"Stall Out","{1}{U}","U","Sorcery","","","Inkognit","Cycling","Tap target creature or Vehicle, then put three stun counters on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)\nCycling {2} ({2}, Discard this card: Draw a card.)",""
"Stock Up","{2}{U}","U","Sorcery","","","Izzy","","Look at the top five cards of your library. Put two of them into your hand and the rest on the bottom of your library in any order.","""We are now accepting over eleven different interplanar currencies, including polished moonfall!"""
"Thopter Fabricator","{2}{U}","U","Artifact — Vehicle","4","4","Racrufi","Crew,Flying","Flying\nWhenever you draw your second card each turn, create a 1/1 colorless Thopter artifact creature token with flying.\nCrew 2","Every camera had a backup, and every backup had a backup, and every backup's backup had a backup, too."
"Trade the Helm","{4}{U}","U","Sorcery","","","Lius Lasahido","Cycling","Exchange control of target artifact or creature you control and target artifact or creature an opponent controls.\nCycling {2} ({2}, Discard this card: Draw a card.)","""This looks like a winning vehicle. But you lot ain't a winning team."""
"Transit Mage","{2}{U}","U","Creature — Human Wizard","2","2","Mark Poole","","When this creature enters, you may search your library for an artifact card with mana value 4 or 5, reveal it, put it into your hand, then shuffle.","""Remember: You can take the wheel if you want, but *I* choose the music."""
"Trip Up","{3}{U}","U","Instant","","","Josiah ""Jo"" Cameron","Cycling","Target nonland permanent's owner puts it on their choice of the top or bottom of their library.\nCycling {2} ({2}, Discard this card: Draw a card.)","""That net was made to hold skywhales. Good luck getting to the next checkpoint!"""
"Unstoppable Plan","{2}{U}","U","Enchantment","","","Borja Pindado","","At the beginning of your end step, untap all nonland permanents you control.","Jace knew that if he just had time to explain his plan, he would find support. Unfortunately, time was in short supply."
"Vnwxt, Verbose Host","{1}{U}","U","Legendary Creature — Homunculus","0","4","Izzy","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nYou have no maximum hand size.\nMax speed — If you would draw a card, draw two cards instead.","""Racers! Start! Your! Engiiiiiines!"""
"Waxen Shapethief","{3}{U}","U","Creature — Shapeshifter","0","0","Helge C. Balzer","Cycling,Flash","Flash\nYou may have this creature enter as a copy of an artifact or creature you control.\nCycling {2} ({2}, Discard this card: Draw a card.)",""
"Ancient Vendetta","{3}{B}","B","Sorcery","","","Tianxing Xu","","Choose a card name. Search target opponent's graveyard, hand, and library for up to four cards with that name and exile them. Then that player shuffles.","""Make peace with your end, for not even your legacy will remain.""\n—Zahur"
"Back on Track","{4}{B}","B","Sorcery","","","Raoul Vitale","","Return target creature or Vehicle card from your graveyard to the battlefield. Create a 1/1 colorless Pilot creature token with ""This token saddles Mounts and crews Vehicles as though its power were 2 greater.""","At the Tombs Before Time, the living of Amonkhet made vital alliances with the honored dead."
"Bloodghast","{B}{B}","B","Creature — Vampire Spirit","2","1","Francisco Badilla","Landfall","This creature can't block.\nThis creature has haste as long as an opponent has 10 or less life.\nLandfall — Whenever a land you control enters, you may return this card from your graveyard to the battlefield.","Summoning it is easy. Controlling it is another matter."
"Carrion Cruiser","{2}{B}","B","Artifact — Vehicle","3","2","Mathias Kollros","Crew,Mill","When this Vehicle enters, mill two cards. Then return a creature or Vehicle card from your graveyard to your hand. (To mill two cards, put the top two cards of your library into your graveyard.)\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",""
"Chitin Gravestalker","{5}{B}","B","Creature — Insect Warrior","5","4","Slawomir Maniak","Cycling","This spell costs {1} less to cast for each artifact and/or creature card in your graveyard.\nCycling {2} ({2}, Discard this card: Draw a card.)","The Speedbrood doesn't differentiate between salvage and carrion."
"Cryptcaller Chariot","{3}{B}","B","Artifact — Vehicle","5","5","Aaron Miller","Crew,Menace","Menace\nWhenever you discard one or more cards, create that many tapped 2/2 black Zombie creature tokens.\nCrew 2","""They too deserve to witness Amonkhet's rebirth.""\n—Zahur"
"Cursecloth Wrappings","{2}{B}{B}","B","Artifact","","","Dominik Mayer","","Zombies you control get +1/+1.\n{T}: Target creature card in your graveyard gains embalm until end of turn. The embalm cost is equal to its mana cost. (Exile that card and pay its embalm cost: Create a token that's a copy of it, except it's a white Zombie in addition to its other types and has no mana cost. Embalm only as a sorcery.)",""
"Deathless Pilot","{1}{B}","B","Creature — Zombie Pilot","2","2","Justin Cornell","","This creature saddles Mounts and crews Vehicles as though its power were 2 greater.\n{3}{B}: Return this card from your graveyard to your hand.","Amonkhet champions become markedly more reckless after dying."
"Demonic Junker","{6}{B}","B","Artifact — Vehicle","4","3","Stephan Martiniere","Affinity,Crew","Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)\nWhen this Vehicle enters, for each player, destroy up to one target creature that player controls. If a creature you controlled was destroyed this way, put two +1/+1 counters on this Vehicle.\nCrew 2",""
"Engine Rat","{B}","B","Creature — Zombie Rat","1","1","Camille Alquier","Deathtouch","Deathtouch\n{5}{B}: Each opponent loses 2 life.","In a land of undeath, permanent pest control solutions are few and far between."
"Gas Guzzler","{B}","B","Creature — Vampire Rogue","2","1","Yohann Schepacz","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nThis creature enters tapped.\nMax speed — {B}, Sacrifice another creature or Vehicle: Draw a card.","Gastal's vampires took fuel from the dead."
"Gastal Raider","{2}{B}","B","Creature — Vampire Rogue","2","1","Lorenzo Mastroianni","Max speed,Start your engines!","Start your engines\nWhen this creature enters, target opponent reveals their hand. You choose an instant or sorcery card from it. That player discards that card.\nMax speed — This creature gets +1/+1 and has menace.","Win or lose, she will sate her hunger."
"Gonti, Night Minister","{2}{B}{B}","B","Legendary Creature — Aetherborn Rogue","3","4","Scott M. Fischer","Treasure","Whenever a player casts a spell they don't own, that player creates a Treasure token.\nWhenever a creature deals combat damage to one of your opponents, its controller looks at the top card of that opponent's library and exiles it face down. They may play that card for as long as it remains exiled. Mana of any type can be spent to cast a spell this way.",""
"Grim Bauble","{B}","B","Artifact","","","Wero Gallo","Surveil","When this artifact enters, target creature an opponent controls gets -2/-2 until end of turn.\n{2}{B}, {T}, Sacrifice this artifact: Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",""
"Grim Javelineer","{2}{B}","B","Creature — Human Warrior","3","2","Bartek Fedyczak","Surveil","Whenever you attack, target attacking creature gets +1/+0 until end of turn. When that creature dies this turn, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)","Kheti lost everything to the Eternals and the Phyrexians. What she gained was an intimate knowledge of death in its myriad forms."
"Hellish Sideswipe","{B}","B","Sorcery","","","Diana Franco","","As an additional cost to cast this spell, sacrifice an artifact or creature.\nDestroy target creature or Vehicle. If the sacrificed permanent was a Vehicle, draw a card.","Might makes right-of-way."
"Hour of Victory","{2}{B}","B","Enchantment","","","Aaron Miller","Max speed,Start your engines!","Start your engines\nWhen this enchantment enters, create a 2/2 black Zombie creature token.\nMax speed — {1}{B}, Sacrifice this enchantment: Search your library for a card, put it into your hand, then shuffle. Activate only as a sorcery.",""
"Intimidation Tactics","{B}","B","Sorcery","","","Cristi Balanescu","Cycling","Target opponent reveals their hand. You choose an artifact or creature card from it. Exile that card.\nCycling {3} ({3}, Discard this card: Draw a card.)","""This is still a negotiation. We haven't broken anything... yet.""\n—Far Fortune"
"Kalakscion, Hunger Tyrant","{1}{B}{B}","B","Legendary Creature — Crocodile","7","2","John Tedrick","","","Galadak's Scar is full of craters which are home to terrifying predators of immense size and savagery. Yet even among such company, Kalakscion—and her insatiable hunger—eclipses them all."
"The Last Ride","{B}","B","Legendary Artifact — Vehicle","13","13","Michele Giorgi","Crew","The Last Ride gets -X/-X, where X is your life total.\n{2}{B}, Pay 2 life: Draw a card.\nCrew 2","The rearview mirror showed Winter what awaited him should he fail."
"Locust Spray","{B}","B","Instant","","","Caio Monteiro","Cycling","Target creature gets -1/-1 until end of turn.\nCycling {B} ({B}, Discard this card: Draw a card.)","""Captain, the cowards are throwing *bugs* at us!""\n—Sphyr, Keelhauler lookout"
"Maximum Overdrive","{1}{B}","B","Instant","","","Javier Charro","","Put a +1/+1 counter on target creature. It gains deathtouch and indestructible until end of turn.","Compared to the Fuel Wars on Gastal, this Grand Prix is a thrilling vacation."
"Momentum Breaker","{1}{B}","B","Enchantment","","","Dmitry Burmak","Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\nWhen this enchantment enters, each opponent sacrifices a creature or Vehicle of their choice. Each opponent who can't discards a card.\n{2}, Sacrifice this enchantment: You gain life equal to your speed.",""
"Mutant Surveyor","{2}{B}","B","Creature — Mutant Scout","2","3","Nicholas Gregory","Max speed,Start your engines!","Start your engines (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)\n{2}: This creature gets +1/+1 until end of turn.\nMax speed — {3}, Exile this card from your graveyard: Draw a card.",""
"Pactdoll Terror","{3}{B}","B","Artifact Creature — Toy","3","4","David Astruga","","Whenever this creature or another artifact you control enters, each opponent loses 1 life and you gain 1 life.","""And you're telling me this was designed for *children*?""\n—Sita Varma"
"Quag Feast","{1}{B}","B","Sorcery","","","Loïc Canavaggia","Mill","Choose target creature, planeswalker, or Vehicle. Mill two cards, then destroy the chosen permanent if its mana value is less than or equal to the number of cards in your graveyard.","Speedbrood racers are gregarious while not racing, but everyone must eat."
